DB00006,DB00208,46
DB00006,DB00210,46
DB00006,DB00233,46
DB00006,DB00277,9
DB00006,DB00313,9
DB00006,DB00337,46
DB00006,DB00374,46
DB00006,DB00461,46
DB00006,DB00469,46
DB00006,DB00495,9
DB00006,DB00500,46
DB00006,DB00531,26
DB00006,DB00573,46
DB00006,DB00586,46
DB00006,DB00605,46
DB00006,DB00608,46
DB00006,DB00651,9
DB00006,DB00655,34
DB00006,DB00686,46
DB00006,DB00705,9
DB00006,DB00744,46
DB00006,DB00749,46
DB00006,DB00768,46
DB00006,DB00770,46
DB00006,DB00775,46
DB00006,DB00784,46
DB00006,DB00795,46
DB00006,DB00806,46
DB00006,DB00821,46
DB00006,DB00870,46
DB00006,DB00890,9
DB00006,DB00932,46
DB00006,DB00939,46
DB00006,DB00945,46
DB00006,DB00963,46
DB00006,DB00972,46
DB00006,DB00991,46
DB00006,DB01009,46
DB00006,DB01014,46
DB00006,DB01088,46
DB00006,DB01166,46
DB00006,DB01196,9
DB00006,DB01207,46
DB00006,DB01223,9
DB00006,DB01236,46
DB00006,DB01240,46
DB00006,DB01254,46
DB00006,DB01283,46
DB00006,DB01357,9
DB00006,DB01399,46
DB00006,DB01401,46
DB00006,DB01435,46
DB00006,DB01600,46
DB00006,DB01609,26
DB00006,DB01628,46
DB00006,DB02709,46
DB00006,DB03619,26
DB00006,DB04573,34
DB00006,DB04574,9
DB00006,DB04575,34
DB00006,DB04951,46
DB00006,DB05266,46
DB00006,DB05676,46
DB00006,DB06206,46
DB00006,DB06209,46
DB00006,DB06287,26
DB00006,DB06414,9
DB00006,DB06441,46
DB00006,DB06737,46
DB00006,DB06802,46
DB00006,DB07615,46
DB00006,DB08797,46
DB00006,DB08814,46
DB00006,DB08816,46
DB00006,DB08880,46
DB00006,DB08887,46
DB00006,DB08954,46
DB00006,DB08981,46
DB00006,DB08984,46
DB00006,DB09070,46
DB00006,DB09075,46
DB00006,DB09079,26
DB00006,DB09216,46
DB00006,DB09218,46
DB00006,DB09288,46
DB00006,DB09543,46
DB00006,DB11079,46
DB00006,DB13783,27
DB00014,DB00104,76
DB00014,DB00188,76
DB00014,DB00196,76
DB00014,DB00220,76
DB00014,DB00222,13
DB00014,DB00270,76
DB00014,DB00285,76
DB00014,DB00321,76
DB00014,DB00334,76
DB00014,DB00358,76
DB00014,DB00390,17
DB00014,DB00398,76
DB00014,DB00440,76
DB00014,DB00491,13
DB00014,DB00503,76
DB00014,DB00511,17
DB00014,DB00540,76
DB00014,DB00543,76
DB00014,DB00656,76
DB00014,DB00672,13
DB00014,DB00674,76
DB00014,DB00691,76
DB00014,DB00697,76
DB00014,DB00715,76
DB00014,DB00731,13
DB00014,DB00734,76
DB00014,DB00753,76
DB00014,DB00808,76
DB00014,DB00818,76
DB00014,DB00834,76
DB00014,DB00839,13
DB00014,DB00862,76
DB00014,DB00871,76
DB00014,DB00912,13
DB00014,DB00914,13
DB00014,DB00916,76
DB00014,DB00938,76
DB00014,DB01001,76
DB00014,DB01015,76
DB00014,DB01059,76
DB00014,DB01067,13
DB00014,DB01072,76
DB00014,DB01075,76
DB00014,DB01078,17
DB00014,DB01124,13
DB00014,DB01142,76
DB00014,DB01151,76
DB00014,DB01189,76
DB00014,DB01251,13
DB00014,DB01252,13
DB00014,DB01254,76
DB00014,DB01261,13
DB00014,DB01263,76
DB00014,DB01274,76
DB00014,DB01356,76
DB00014,DB01396,17
DB00014,DB01623,76
DB00014,DB04876,13
DB00014,DB04878,13
DB00014,DB05039,76
DB00014,DB06788,76
DB00014,DB06825,76
DB00014,DB08864,76
DB00014,DB08871,76
DB00014,DB08893,76
DB00014,DB09038,13
DB00014,DB09080,76
DB00014,DB09082,76
DB00027,DB06695,11
DB00027,DB09268,13
DB00080,DB09268,13
DB00091,DB00176,6
DB00091,DB00177,61
DB00091,DB00178,10
DB00091,DB00196,10
DB00091,DB00210,21
DB00091,DB00224,10
DB00091,DB00230,26
DB00091,DB00239,6
DB00091,DB00244,21
DB00091,DB00246,6
DB00091,DB00263,21
DB00091,DB00275,61
DB00091,DB00278,10
DB00091,DB00283,6
DB00091,DB00285,6
DB00091,DB00320,6
DB00091,DB00328,21
DB00091,DB00337,21
DB00091,DB00338,10
DB00091,DB00339,10
DB00091,DB00343,6
DB00091,DB00350,26
DB00091,DB00362,6
DB00091,DB00385,21
DB00091,DB00396,3
DB00091,DB00428,21
DB00091,DB00445,21
DB00091,DB00446,10
DB00091,DB00452,21
DB00091,DB00461,21
DB00091,DB00465,21
DB00091,DB00469,21
DB00091,DB00479,21
DB00091,DB00482,21
DB00091,DB00492,10
DB00091,DB00503,10
DB00091,DB00520,26
DB00091,DB00525,6
DB00091,DB00529,21
DB00091,DB00541,9
DB00091,DB00542,10
DB00091,DB00554,21
DB00091,DB00568,26
DB00091,DB00573,21
DB00091,DB00582,6
DB00091,DB00586,21
DB00091,DB00605,21
DB00091,DB00619,10
DB00091,DB00646,6
DB00091,DB00661,6
DB00091,DB00673,10
DB00091,DB00677,10
DB00091,DB00684,21
DB00091,DB00688,21
DB00091,DB00691,10
DB00091,DB00694,21
DB00091,DB00695,26
DB00091,DB00700,61
DB00091,DB00705,6
DB00091,DB00712,21
DB00091,DB00722,10
DB00091,DB00735,6
DB00091,DB00738,6
DB00091,DB00749,21
DB00091,DB00784,21
DB00091,DB00788,21
DB00091,DB00790,10
DB00091,DB00793,6
DB00091,DB00796,61
DB00091,DB00798,21
DB00091,DB00821,21
DB00091,DB00834,10
DB00091,DB00870,21
DB00091,DB00876,61
DB00091,DB00884,26
DB00091,DB00900,1
DB00091,DB00903,26
DB00091,DB00936,6
DB00091,DB00939,21
DB00091,DB00955,21
DB00091,DB00963,21
DB00091,DB00973,10
DB00091,DB00976,6
DB00091,DB00996,26
DB00091,DB00997,21
DB00091,DB01007,6
DB00091,DB01014,21
DB00091,DB01015,21
DB00091,DB01016,13
DB00091,DB01024,9
DB00091,DB01034,6
DB00091,DB01042,21
DB00091,DB01054,26
DB00091,DB01059,6
DB00091,DB01074,26
DB00091,DB01082,21
